,Date,Price,Open,High,Low,Vol.,Change %
0,18/01/2005,38.54,38.1,38.61,38.04,92.04M,0.76%
1,19/01/2005,37.9,38.55,38.57,37.88,105.30M,-1.66%
2,20/01/2005,37.18,37.47,37.63,37.15,121.11M,-1.90%
3,21/01/2005,36.88,37.32,37.38,36.82,115.50M,-0.81%
4,24/01/2005,36.36,36.97,37.03,36.29,137.59M,-1.41%
5,25/01/2005,36.54,36.6,36.92,36.49,120.05M,0.50%
6,26/01/2005,36.98,36.79,37.12,36.65,107.71M,1.20%
7,27/01/2005,36.93,36.9,37.1,36.7,109.79M,-0.14%
8,28/01/2005,36.75,37.05,37.1,36.45,111.79M,-0.49%
9,31/01/2005,37.23,37.19,37.36,37.09,89.38M,1.31%
10,01/02/2005,37.35,37.32,37.47,37.2,76.82M,0.32%
11,02/02/2005,37.4,37.46,37.55,37.14,101.91M,0.13%
12,03/02/2005,36.98,37.21,37.24,36.83,90.93M,-1.12%
13,04/02/2005,37.57,36.98,37.64,36.98,99.37M,1.60%
14,07/02/2005,37.5,37.62,37.73,37.35,71.63M,-0.19%
15,08/02/2005,37.56,37.48,37.83,37.44,73.23M,0.16%
16,09/02/2005,36.94,37.59,37.62,36.89,93.43M,-1.65%
17,10/02/2005,36.98,37.09,37.15,36.71,110.43M,0.11%
18,11/02/2005,37.52,36.89,37.67,36.76,108.77M,1.46%
19,14/02/2005,37.69,37.52,37.76,37.51,55.06M,0.45%
20,15/02/2005,37.94,37.72,38.3,37.64,133.21M,0.66%
21,16/02/2005,37.8,37.85,37.98,37.65,80.62M,-0.37%
22,17/02/2005,37.3,37.87,37.96,37.26,116.32M,-1.32%
23,18/02/2005,37.18,37.32,37.4,37.09,69.39M,-0.32%
24,22/02/2005,36.72,36.86,37.37,36.62,122.63M,-1.24%
25,23/02/2005,36.77,36.87,36.9,36.53,95.42M,0.14%
26,24/02/2005,37.24,36.68,37.27,36.59,99.84M,1.28%
27,25/02/2005,37.44,37.21,37.52,37.12,80.14M,0.54%
28,28/02/2005,37.05,37.29,37.42,36.75,96.02M,-1.04%
29,01/03/2005,37.45,37.2,37.52,37.16,79.29M,1.08%
30,02/03/2005,37.43,37.25,37.84,37.18,107.99M,-0.05%
31,03/03/2005,37.13,37.53,37.55,36.85,90.10M,-0.80%
